|id|created_at|name|followers_count|favorite_count|retweet_count|flag|full_text|label
0|1113517000167448581|2019-04-03 19:01:55|Dgaceyguillo|101|0|13|Kirchner|RT @minutounocom: La joven debiaregresar este jueves a la Argentina tras someterse a un tratamiento medico |neutral
1|1113516983679619073|2019-04-03 19:01:51|Yolanda22362688|307|0|49|Kirchner|"RT @krauseirishotm1: Romina Manguel: ""no hay necesidad de que Florencia Kirchner este aca..."" La verdad que dan asco todos!! Mariano Cuneo…"|neutral
2|1113516955158351878|2019-04-03 19:01:44|BramanteLidia|409|0|1|Kirchner|RT @PoliticaClarin: Rechazan la unificacion de dos causas que podria retrasar el primer juicio oral a Cristina Kirchner |neutral
3|1113516898438848513|2019-04-03 19:01:31|migueldelpalmar|112|0|1127|Kirchner|RT @PissanoV: A ver gente, ustedes tienen idea de la gravedad que tiene el hecho de que Julio De Vido se presente en las listas de diputado…|neutral
4|1113516858513268737|2019-04-03 19:01:21|Dgaceyguillo|101|0|73|Kirchner|RT @arilijalad: “Aca hay una forma de apriete. Te piden tirar mierda para arriba. Declara como arrepentido y te vas a tu casa mañana”, cont…|neutral
5|1113516842570735617|2019-04-03 19:01:18|EmmaDLRS|3991|0|5|Kirchner|RT @salinaslucia: Rechazan la unificacion de dos causas que podria retrasar el primer juicio oral a Cristina Kirchner - |neutral
6|1113516839152308231|2019-04-03 19:01:17|ZuleDalmau|1712|0|335|Kirchner|"RT @gabiestevezok: Este es el juez Martinez Sobrino, que en 2017 concedio prision domiciliaria a Etchecolatz ""por su estado fisico delicado…"|neutral
7|1113516758609137664|2019-04-03 19:00:58|MemesBelicos|1886|0|0|Kirchner|@valengalinsky @Facu_Torres53 Solo una sugerencia: que bueno que Argentina es republica, llega a ser el bizco Kirchner rey de Argentina y en 50 años nos tienen llorando para volver a España.|neutral
8|1113516737180336128|2019-04-03 19:00:52|gretcatblue|71|0|7|Kirchner|RT @dsantoro59: Otro Tribunal Oral autorizo a Florencia Kirchner a quedarse en Cuba hasta el 15 de abril, pero este jueves vence un plazo p…|neutral
9|1113516671170424833|2019-04-03 19:00:37|Lechuza9|4923|0|335|Kirchner|"RT @gabiestevezok: Este es el juez Martinez Sobrino, que en 2017 concedio prision domiciliaria a Etchecolatz ""por su estado fisico delicado…"|neutral
10|1113516663863955458|2019-04-03 19:00:35|FacuBergguist|5257|0|335|Kirchner|"RT @gabiestevezok: Este es el juez Martinez Sobrino, que en 2017 concedio prision domiciliaria a Etchecolatz ""por su estado fisico delicado…"|neutral
