,created_at,favorite_count,followers_count,id,location,name,retweet_count,text
0,2019-03-26 22:53:53,0,45,1110676271133007873,,Daniel Vilches,172,RT @AbelFerrini: Macri pone fin al programa Remediar: otro golpe al acceso a la salud de millones de ciudadanos https://t.co/TpJAm4yzzx vía…
1,2019-03-26 22:53:53,0,1333,1110676271112114178,,NORBERTO FRANCOVICH,1853,RT @edufeiok: ENCUESTA. Hoy todos los sondeos indican que hay segunda vuelta entre CFK y Macri. Ud a quien vota ???  YO NO TENGO NINGUNA DU…
2,2019-03-26 22:53:52,0,246,1110676268050276353,buenos aires,paula andrea ramon i,62,"RT @RiloDamian: ""Dicen que pasaron cosas, en realidad lo q pasó es que asumió Macri en el 2015 y con eso empezó una política de ajuste, de…"
3,2019-03-26 22:53:51,0,188,1110676264791224321,,diego caseres,561,"RT @UniCiudadanaAR: Hay en Argentina 2 millones de nuevos pobres.

Macri, no es por acá ✋
#HayOtroCamino 🇦🇷 https://t.co/meomZAXjrq"
4,2019-03-26 22:53:51,0,53,1110676263944011776,"Maldonado, Uruguay",Nelson Fernandez,105,RT @protec2: Muertos cada 100 mil habitantes: Chile de Piñera 3.2%. Argentina de Macri 5.8%. Uruguay de FA 11.8%. Datos no opiniones.
5,2019-03-26 22:53:49,0,121,1110676257161789442,Planeta Tierra,Arielsazt,0,@perfilcom Macri nos ARRUINASTE https://t.co/YvwjKC4oEp
6,2019-03-26 22:53:49,0,1850,1110676255526043648,,Tami.-* 🦄,591,"RT @ZetaOrlando: El DÓLAR rompe su máximo histórico y cotiza a $ 43,60. Felicitaciones a los economistas de Macri 👏"
7,2019-03-26 22:53:48,0,79,1110676253697368064,,Del mar,364,"RT @PeriodistaPeron: En las últimas horas Macri inauguró un seminario antimafias, Carrió pidió terminar con las escuchas ilegales y Campane…"
8,2019-03-26 22:53:48,0,63,1110676250115354624,argentina,cristian palacio,15,"RT @fvallejoss: Macri arrastró a la Argentina al triste récord de convertirse en el país más endeudado de la región, tornándose una de las…"
9,2019-03-26 22:53:47,0,309,1110676247636574208,caba,Tanfoglio 1911 ❄,0,@CableFibertel no entiendo como siguen estando abiertos ? Perdieron el 30% por servicio malo y un 29% este último a… https://t.co/wDHmB8Zwb3
10,2019-03-26 22:53:47,0,57,1110676246919368704,,Miki GF,27,"RT @GFrondizi: Hola amigos
Lo q el perionismo no comunica
Se abrió de nuevo el frigorífico Swift con 100 empleados nuevos
Se había cerrado…"
11,2019-03-26 22:53:45,0,4738,1110676241223503872,Banfield,#Carito#🌹🎈💟🌸#,49,"RT @Clau_claudius8: #NoSoyTroll
#NoAceptoCriticas
Cristina presa
Florencia presa
Maximo preso
Ramos parrilla destituido
Oyarbide preso
La m…"
