,created_at,favorite_count,followers_count,id,location,name,retweet_count,text
0,2019-03-26 22:28:58,0,823,1110670001437097985,"Buenos Aires, Argentina",Esther quintana,233,"RT @Albor_Adrian: Después de la disertación de Macri en una conferencia sobre Mafia... ¿qué sigue? Espero respuestas del tipo:
1. Una charl…"
1,2019-03-26 22:28:58,0,3952,1110670001177022464,,Luis,7,"RT @U24noticias: DÓLAR A $60 EN DICIEMBRE 
El mercado ya no financia a Macri (fondos y bancos aceleran salida) 
https://t.co/Nj3l5DLWGY htt…"
2,2019-03-26 22:28:56,0,493,1110669994625564674,"Tucumán, Argentina",MapuTuk,0,"@IsaiasCisnero El responsable es Macrï, corta la bocha"
3,2019-03-26 22:28:55,0,91,1110669990749974533,,cati,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
4,2019-03-26 22:28:55,0,339,1110669989864976385,,Patricia Rube,1785,RT @alferdez: Eso es la Justicia en la Argentina de MACRI. Hay un fiscal que se niega a declarar. Los medios en silencio y la Justicia lo e…
5,2019-03-26 22:28:54,0,199,1110669987461713922,,Mac Nolo,0,Estoy en el centro de Córdoba. En la galería cabildo.hay muchos negocios de venta de libros nuevos y usados. No hay… https://t.co/4mQORn85iZ
6,2019-03-26 22:28:54,0,7927,1110669985838440451,Rosario-Santa Fe-Argentina,sari barcos,64,RT @marioraulnegri: El Gobierno provincial me mandó a decir que digo tonteras por denunciar que #SchiarettiEsCristina. PERO el ex candidato…
7,2019-03-26 22:28:53,0,190,1110669982327848960,,Seba,97,RT @protec2: Muertos cada 100 mil habitantes: Chile de Piñera 3.2%. Argentina de Macri 5.8%. Uruguay de FA 11.8%. Datos no opiniones.
8,2019-03-26 22:28:53,0,205,1110669981761654784,,@nescar27hotmail8,0,"Están abriendo el paragua, saben que tienen que hacerle creer a la gilada que ellos ganan para después decir hicier… https://t.co/h28KjHzFC9"
9,2019-03-26 22:28:53,0,5514,1110669979983249408,blogosphere!,J.M. Hamilton,1,RT @BloombergCA: Argentina is eyeing its first major new mining project in two decades https://t.co/5leJwdQExf
10,2019-03-26 22:28:51,0,182,1110669974719348736,,TconNelson,1732,RT @edufeiok: ENCUESTA. Hoy todos los sondeos indican que hay segunda vuelta entre CFK y Macri. Ud a quien vota ???  YO NO TENGO NINGUNA DU…
11,2019-03-26 22:28:51,0,11589,1110669974371217408,"Córdoba, Argentina",Luciano Aguero Diaz,64,RT @marioraulnegri: El Gobierno provincial me mandó a decir que digo tonteras por denunciar que #SchiarettiEsCristina. PERO el ex candidato…
12,2019-03-26 22:28:49,0,1317,1110669963700916230,Córdoba,Cécile,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
13,2019-03-26 22:28:48,0,361,1110669961859616769,San Justo SF,agu,189,"RT @MilagrosDwarf: *No votar a Macri
*No votar a Vidal porque es igual a macri
*No votar empresarios creyendo que por ricos no van a robar…"
14,2019-03-26 22:28:47,0,459,1110669956126003203,,tri,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
15,2019-03-26 22:28:47,0,103,1110669955488538624,Tomando chocolatada,Franco,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
16,2019-03-26 22:28:46,0,535,1110669953945034753,En la Estancia.,Pour / El Pobre Can,0,"""Macri, Awada, funcionarios, cantantes y otras personalidades participan del evento que se hace en el Four Seasons.… https://t.co/tNrpgCpapR"
17,2019-03-26 22:28:46,0,2016,1110669950358876161,"Mendoza, Argentina",David Frank,382,"RT @ceciazul: Macri le dice ""querido Rey"" al de España, le cuenta angustia de próceres argentinos por haberse independizado y dice ""madre p…"
18,2019-03-26 22:28:45,0,8908,1110669947687055361,"Miami Beach, FL",Ernesto Orsetti,7,"RT @elcoya1977: Para los que ayer se perdieron el análisis de @edufeiok , acá les dejo esta maravillosa edición de @pirocratica .

No se pi…"
19,2019-03-26 22:28:45,0,302,1110669947095658497,Mendoza🌞🍷,marti,189,"RT @MilagrosDwarf: *No votar a Macri
*No votar a Vidal porque es igual a macri
*No votar empresarios creyendo que por ricos no van a robar…"
20,2019-03-26 22:28:45,0,335,1110669946336563200,,Marta,1785,RT @alferdez: Eso es la Justicia en la Argentina de MACRI. Hay un fiscal que se niega a declarar. Los medios en silencio y la Justicia lo e…
21,2019-03-26 22:28:44,0,74,1110669942540697601,,José Aprigliano,473,"RT @marianoruizmdq: ¿Cristina Fernández de Kirchner Comparó el Golpe de 1976 con el gobierno de Mauricio Macri? 🤔
¿Ni un poco de dignidad l…"
22,2019-03-26 22:28:43,0,2120,1110669938262446083,Argentina,vanina,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
23,2019-03-26 22:28:42,0,12106,1110669934856716288,Argentina,Izquierda Socialista,3,RT @PolloSobrero: Macri participando de un seminario anti mafia?  Es joda no? https://t.co/JZlieq1leP
24,2019-03-26 22:28:40,0,86,1110669927168516098,,Eulalia,261,"RT @missencuestas2: El peor escenario. Pierde Macri.
Sentimientos: ¿Tristeza? Si, mucha. ¿Alivio? Sí por él que dejará de luchar contra mol…"
25,2019-03-26 22:28:38,0,687,1110669920122163200,,Letraurgente,1,RT @lagrietalopez: @edufeiok La realidad se impone.  Macri pierde hasta frente a un cuatro de copas ... Por lo pronto ya perdió los votos d…
26,2019-03-26 22:28:38,0,727,1110669919358734337,"San Isidro, Argentina",Herrero_K,125,"RT @KORTAZAR: HOY DIFUNDIMOS:
#DesafueroAStornelliYa

HASTA Q LLEGUE A QUIENES NO SE ENTERAN:

✔️ RT HASTA MACRI LO LEA!

✔️ RT HASTA Q LLE…"
27,2019-03-26 22:28:38,0,18,1110669918020780037,,Sobam El-Zogán,1732,RT @edufeiok: ENCUESTA. Hoy todos los sondeos indican que hay segunda vuelta entre CFK y Macri. Ud a quien vota ???  YO NO TENGO NINGUNA DU…
28,2019-03-26 22:28:36,0,975,1110669911418961920,,EitiLeda,6,RT @lauravi: LAs reglas de papel que le entregan a los niños en la provincia de Vidal (que es Macri) https://t.co/v6TyHlqxTB
29,2019-03-26 22:28:34,0,2652,1110669901012877313,Córdoba,Lucas Cruzado,64,RT @marioraulnegri: El Gobierno provincial me mandó a decir que digo tonteras por denunciar que #SchiarettiEsCristina. PERO el ex candidato…
30,2019-03-26 22:28:30,0,442,1110669884902592514,"Buenos Aires, Argentina",gonzadavalos,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
31,2019-03-26 22:28:29,0,431,1110669882734100480,,Mag,125,"RT @KORTAZAR: HOY DIFUNDIMOS:
#DesafueroAStornelliYa

HASTA Q LLEGUE A QUIENES NO SE ENTERAN:

✔️ RT HASTA MACRI LO LEA!

✔️ RT HASTA Q LLE…"
32,2019-03-26 22:28:28,0,399,1110669876585074688,,Roxana,0,@diegobossio No olvidamos ni dejamos atrás el robo  a la República. LA ÚNICA ALTERNATIVA ES MAURICIO MACRI Y MARIA… https://t.co/uNGWZNfwZl
33,2019-03-26 22:28:26,0,197,1110669868783800326,"Santa Fe, Santo Tome",Mumi,0,"QUIEN TIENE PLATA PARA VER A SERGIO TORRES EN FIN DE MES, uds votaron a Macri"
34,2019-03-26 22:28:25,0,147,1110669863708692480,"Buenos Aires, Argentina",life love laugh,705,RT @ralanizok: Se instala el prejuicio que la grieta es culpa de Macri y Cristina. Discrepo: la grieta es culpa de los K en el poder y en l…
35,2019-03-26 22:28:24,0,511,1110669861343166465,,ProvinciasUnidasDelSur,1,RT @dametupalabra: @DarkPolitiK @NqnPedroMG Valoro el esfuerzo del Gato y de C5N cuestionando frontalmente a Macri en condiciones económica…
36,2019-03-26 22:28:23,0,591,1110669856649736197,Argentina,Ariel ARG ✌️🇦🇷,50,"RT @FilmusDaniel: El ""único camino"" de Macri es en verdad un callejón sin salida:             

En lo que va del año, cada tres días, una e…"
37,2019-03-26 22:28:23,0,392,1110669856096075776,,Ana Ester Vaio,1732,RT @edufeiok: ENCUESTA. Hoy todos los sondeos indican que hay segunda vuelta entre CFK y Macri. Ud a quien vota ???  YO NO TENGO NINGUNA DU…
38,2019-03-26 22:28:23,0,108,1110669854850322432,"Córdoba, Argentina",Luis Abdon,64,RT @marioraulnegri: El Gobierno provincial me mandó a decir que digo tonteras por denunciar que #SchiarettiEsCristina. PERO el ex candidato…
39,2019-03-26 22:28:23,0,192,1110669853814390784,"Mar del Plata, Argentina",Vął🌸,1,RT @erreteguimarco: Q BUENA CAMPERA LA CONCHA DE MACRI
40,2019-03-26 22:28:23,0,180,1110669853709533184,Choele Choel,Juan Carlos Gomez,8,"RT @fvallejoss: Macri arrastró a la Argentina al triste récord de convertirse en el país más endeudado de la región, tornándose una de las…"
41,2019-03-26 22:28:20,0,1148,1110669841353060354,,Violeta Exertier,8,RT @ImeldaBejarano3: @andahazi @radiomitre Voto a Macri con las dos manos aunque tenga que comer pasto. VOTO A MACRI PORQUE NO QUIERO NUNCA…
42,2019-03-26 22:28:19,0,1352,1110669840119935010,,Puentes Caídos,166,RT @AbelFerrini: Macri pone fin al programa Remediar: otro golpe al acceso a la salud de millones de ciudadanos https://t.co/TpJAm4yzzx vía…
43,2019-03-26 22:28:19,0,546,1110669839264346112,,Viva la cibertropa,867,"RT @AndyW0K: Grandes potencias del mundo harán que el Presidente Macri sea reelecto en 1ra vuelta. Se vienen grandes anuncios, sobre todo d…"
44,2019-03-26 22:28:19,0,205,1110669836961628166,,Jorge Art,444,"RT @gustavoeloy635: Sr @edufeiok soy Medico hace 25 años , trabajo todo el tiempo para vivir y pagar los impuestos como corresponde , no me…"
45,2019-03-26 22:28:18,0,262,1110669834885435392,,Mario Gonz,444,"RT @gustavoeloy635: Sr @edufeiok soy Medico hace 25 años , trabajo todo el tiempo para vivir y pagar los impuestos como corresponde , no me…"
46,2019-03-26 22:28:18,0,251,1110669834088574980,,Giuliana💫,4191,"RT @nanothompson: 1. No
2. Votar
3. A
4. Macri https://t.co/NFC6a3Pv31"
47,2019-03-26 22:28:17,0,253,1110669831571996672,"Matanza, Buenos Aires",AnaluzParrilla,530,"RT @UniCiudadanaAR: Hay en Argentina 2 millones de nuevos pobres.

Macri, no es por acá ✋
#HayOtroCamino 🇦🇷 https://t.co/meomZAXjrq"
48,2019-03-26 22:28:16,0,6442,1110669826383638529,Palermo,RELAX,557,"RT @ZetaOrlando: El DÓLAR rompe su máximo histórico y cotiza a $ 43,60. Felicitaciones a los economistas de Macri 👏"
49,2019-03-26 22:28:14,0,1380,1110669816724111360,Santa Fe Argentina,HMSMariano,6,RT @lauravi: LAs reglas de papel que le entregan a los niños en la provincia de Vidal (que es Macri) https://t.co/v6TyHlqxTB
50,2019-03-26 22:28:14,0,1398,1110669816514445318,Ciudad Autónoma de Buenos Aire,soy yo,883,"RT @JuanGrabois: No quiere volver al pasado, pero en su presente sube la pobreza, el desempleo, la deuda. No puede bajar la inflación ni a…"
